FRAME, TEMP, CHAN1, CHAN2, CHAN3, CHAN4, CHAN5, CHAN6, CHAN7, CHAN8, CHAN9, CHAN10, CHAN11, CHAN12, CHAN13, CHAN14, CHAN15, CHAN16, CHAN17, CHAN18, CHAN19, CHAN20, CHAN21, CHAN22, CHAN23, CHAN24, CHAN25, CHAN26, CHAN27, CHAN28, CHAN29, CHAN30, CHAN31, CHAN32
53.000000,35.307381,0.971379,-0.336032,-0.536818,-0.715976,-0.864891,-0.851510,-0.750361,-0.632193,-0.464898,-0.059972,-0.096791,-0.113469,-0.075372,0.026554,0.074988,0.113419,0.132356,0.131819,1.363951,1.363368,1.363514,1.363715,1.363987,1.362586,1.363294,1.364163,1.364050,1.363642,1.363867,1.364112,1.363616,1.363824
54.000000,35.306870,0.970071,-0.335160,-0.535944,-0.715016,-0.864142,-0.850647,-0.749739,-0.631915,-0.467789,-0.060433,-0.097394,-0.113991,-0.075858,0.026135,0.074726,0.112976,0.132012,0.131430,1.363354,1.362779,1.362881,1.362914,1.363072,1.361833,1.362524,1.363281,1.363041,1.362825,1.362991,1.363178,1.362849,1.362901
55.000000,35.304787,0.969569,-0.337009,-0.537968,-0.716550,-0.866059,-0.852140,-0.751348,-0.633555,-0.474187,-0.060649,-0.098063,-0.114885,-0.076802,0.025386,0.073832,0.111988,0.131073,0.130367,1.364051,1.363268,1.363575,1.363404,1.363681,1.362445,1.362984,1.363848,1.363486,1.363380,1.363455,1.363796,1.363348,1.363419
56.000000,35.303520,0.972239,-0.337504,-0.538713,-0.717785,-0.867287,-0.853415,-0.752319,-0.633928,-0.472319,-0.059778,-0.097245,-0.114189,-0.076076,0.026249,0.074933,0.113072,0.132200,0.131641,1.366414,1.365607,1.365973,1.365857,1.366181,1.364836,1.365278,1.366210,1.365961,1.365801,1.365861,1.366297,1.365749,1.365852
57.000000,35.302120,0.970249,-0.336186,-0.536987,-0.716251,-0.865205,-0.851787,-0.750753,-0.632803,-0.468198,-0.060169,-0.097859,-0.114551,-0.076485,0.025877,0.074287,0.112245,0.131665,0.130974,1.363253,1.362560,1.362900,1.362759,1.363053,1.361723,1.362250,1.363273,1.363091,1.362796,1.362954,1.363354,1.362769,1.362946
58.000000,35.301842,0.968228,-0.334506,-0.534503,-0.713449,-0.861775,-0.848644,-0.747463,-0.629705,-0.466675,-0.058374,-0.096201,-0.112737,-0.075071,0.026744,0.075438,0.113463,0.132569,0.131940,1.360736,1.360237,1.360290,1.360180,1.360500,1.359180,1.359808,1.360804,1.360545,1.360306,1.360501,1.360889,1.360309,1.360451
59.000000,35.300072,0.968621,-0.334316,-0.534580,-0.713280,-0.861900,-0.848573,-0.747529,-0.629734,-0.468190,-0.058539,-0.096266,-0.112738,-0.075099,0.026738,0.075401,0.113765,0.132557,0.131872,1.361724,1.361273,1.361314,1.361136,1.361496,1.360105,1.360915,1.361781,1.361569,1.361214,1.361515,1.361783,1.361373,1.361434
60.000000,35.298882,0.968809,-0.336017,-0.537223,-0.715812,-0.864993,-0.851413,-0.750899,-0.633169,-0.471316,-0.061647,-0.099020,-0.115477,-0.077507,0.024978,0.073072,0.111300,0.130556,0.129534,1.363167,1.362749,1.362796,1.362659,1.362916,1.361578,1.362358,1.363241,1.363000,1.362631,1.362986,1.363140,1.362874,1.362870
61.000000,35.298737,0.971689,-0.336824,-0.538251,-0.717594,-0.866706,-0.853253,-0.752273,-0.634193,-0.469434,-0.061759,-0.098426,-0.114898,-0.076806,0.025658,0.073976,0.112136,0.131454,0.130673,1.366112,1.365571,1.365767,1.365649,1.365922,1.364563,1.365270,1.366145,1.365994,1.365634,1.365847,1.366074,1.365687,1.365782
62.000000,35.298141,0.972863,-0.335900,-0.537269,-0.717106,-0.865796,-0.852604,-0.751201,-0.632617,-0.466443,-0.060000,-0.096937,-0.113490,-0.075386,0.026856,0.075513,0.113968,0.132969,0.132497,1.365835,1.365256,1.365529,1.365406,1.365795,1.364300,1.364962,1.365850,1.365698,1.365336,1.365510,1.365698,1.365453,1.365489
63.000000,35.295788,0.968809,-0.335053,-0.535834,-0.715095,-0.863159,-0.849927,-0.748913,-0.630774,-0.468469,-0.059551,-0.097377,-0.113927,-0.076088,0.026115,0.074329,0.112751,0.131947,0.131071,1.359981,1.359372,1.359731,1.359628,1.360001,1.358521,1.359160,1.360030,1.359814,1.359540,1.359641,1.359901,1.359681,1.359699
64.000000,35.295452,0.965957,-0.333802,-0.533948,-0.712436,-0.860435,-0.847172,-0.746692,-0.628996,-0.469275,-0.059385,-0.097448,-0.113788,-0.076184,0.025780,0.073826,0.112054,0.131179,0.130255,1.356822,1.356240,1.356700,1.356627,1.356924,1.355372,1.356068,1.356931,1.356756,1.356524,1.356643,1.356849,1.356508,1.356637
